"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"403","Andy Roddick",77,14,1,0.76,0.69,117
"404","Andy Roddick",75,16,3,0.76,0.7,93
"405","Andy Roddick",34,13,2,0.76,0.69,80
"406","Andy Roddick",59,15,1,0.8,0.65,85
"407","Andy Roddick",36,8,0,0.8,0.8,59
"408","Andy Roddick",293,21,8,0.76,0.62,87
"409","Andy Roddick",56,12,7,0.76,0.58,163
"410","Andy Roddick",38,4,0,0.64,0.58,67
"411","Andy Roddick",55,8,5,0.64,0.65,117
"412","Andy Roddick",16,11,7,0.64,0.62,133
"413","Andy Roddick",154,13,2,0.76,0.65,98
"414","Andy Roddick",54,10,1,0.76,0.76,117
"415","Andy Roddick",187,17,2,0.76,0.64,57
"416","Andy Roddick",48,12,4,0.76,0.64,56
"417","Andy Roddick",137,16,1,0.76,0.77,103
"418","Andy Roddick",92,17,2,0.76,0.67,121
"419","Andy Roddick",102,37,4,0.76,0.73,164
"420","Andy Roddick",38,20,0,0.76,0.75,66
"421","Andy Roddick",65,7,1,0.76,0.69,81
"422","Andy Roddick",33,13,0,0.76,0.62,66
"423","Andy Roddick",10,15,3,0.76,0.62,78
"424","Andy Roddick",22,18,0,0.76,0.78,60
"425","Andy Roddick",14,13,1,0.76,0.59,78
"426","Andy Roddick",2,17,1,0.76,0.68,108
"427","Andy Roddick",3,14,2,0.76,0.69,90
"428","Andy Roddick",41,22,1,0.76,0.65,115
"429","Andy Roddick",60,15,2,0.76,0.62,87
"430","Andy Roddick",40,22,3,0.76,0.61,171
"431","Andy Roddick",31,19,5,0.76,0.74,123
"432","Andy Roddick",11,8,0,0.76,0.65,87
"433","Andy Roddick",119,13,5,0.76,0.57,134
"434","Andy Roddick",86,10,0,0.76,0.57,99
"435","Andy Roddick",72,11,1,0.76,0.58,128
"436","Andy Roddick",1,17,1,0.76,0.69,115
"437","Andy Roddick",138,17,0,0.76,0.76,77
"438","Andy Roddick",94,14,0,0.76,0.77,61
"439","Andy Roddick",57,21,6,0.64,0.71,246
"440","Andy Roddick",41,30,5,0.76,0.72,126
"441","Andy Roddick",12,17,3,0.76,0.63,97
"442","Andy Roddick",73,5,0,0.76,0.64,57
"443","Andy Roddick",26,11,1,0.76,0.7,110
"444","Andy Roddick",10,5,1,0.76,0.67,97
"445","Andy Roddick",107,16,1,0.76,0.71,98
"446","Andy Roddick",32,8,2,0.76,0.73,106
"447","Andy Roddick",12,10,3,0.76,0.69,140
"448","Andy Roddick",3,5,0,0.76,0.81,69
"449","Andy Roddick",52,20,0,0.76,0.76,67
"450","Andy Roddick",51,11,0,0.76,0.8,62
"451","Andy Roddick",37,11,1,0.76,0.78,103
